,A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
0,0.55,0.055257,0.189189,0.497937,0.0,0.5,0.125,1.0,0.982456,0
1,0.0,0.02526,0.837838,0.354883,0.642857,0.296875,0.916667,0.445652,0.035088,0
2,0.25,0.027787,0.108108,0.497937,0.375,0.5625,0.333333,0.48913,0.438596,0
3,0.683333,0.026839,0.351351,0.492435,0.446429,0.5625,0.097222,0.51087,0.596491,0
4,0.516667,0.028734,0.864865,0.497937,0.910714,0.484375,0.486111,0.141304,0.070175,0
5,0.0,0.021787,0.135135,0.497937,0.678571,0.5625,0.555556,0.130435,0.0,0
6,0.083333,0.048626,0.054054,0.497937,0.178571,0.5625,0.458333,0.728261,0.54386,0
7,0.6,0.02305,0.351351,0.496561,0.446429,0.5625,0.166667,0.51087,0.561404,0
8,0.116667,0.025576,0.054054,0.497937,0.357143,0.5625,0.416667,0.48913,0.385965,0
9,0.733333,0.028418,0.378378,0.500688,0.446429,0.5625,0.069444,0.51087,0.614035,0
10,0.0,0.025892,0.081081,0.497937,0.464286,0.5625,0.541667,0.369565,0.210526,0
11,0.566667,0.021156,0.351351,0.497937,0.446429,0.5625,0.194444,0.51087,0.54386,0
12,0.0,0.01263,0.0,0.496561,0.607143,0.25,0.486111,0.163043,0.087719,0
13,0.916667,0.024313,0.864865,0.497937,0.982143,0.46875,0.166667,0.065217,0.192982,0
14,0.883333,0.024629,0.864865,0.497937,0.946429,0.125,0.194444,0.086957,0.210526,0
15,0.0,0.005052,0.027027,0.499312,0.696429,0.578125,0.5,0.065217,0.0,0
16,0.266667,0.014209,0.351351,0.497937,0.428571,0.09375,0.444444,0.532609,0.403509,0
17,0.083333,0.027787,0.027027,0.497937,0.75,0.5625,0.430556,0.01087,0.0,0
18,0.533333,0.055889,0.189189,0.497937,0.0,0.484375,0.138889,1.0,0.964912,0
19,0.1,0.026524,0.432432,0.497937,0.392857,0.5625,0.625,0.586957,0.333333,0
20,0.516667,0.058415,0.189189,0.497937,0.0,0.46875,0.138889,1.0,0.964912,0
21,0.866667,0.024629,0.864865,0.497937,0.946429,0.28125,0.208333,0.086957,0.192982,0
22,0.0,0.003473,0.054054,0.497937,0.553571,0.5625,0.513889,0.23913,0.122807,0
23,0.0,0.011999,0.837838,0.496561,0.642857,0.578125,0.916667,0.445652,0.035088,0
24,0.0,0.026839,0.027027,0.497937,0.553571,0.5625,0.5,0.228261,0.122807,0
25,0.116667,0.024945,0.432432,0.497937,0.392857,0.5625,0.611111,0.586957,0.350877,0
26,0.75,0.269656,0.837838,0.49381,0.678571,0.3125,0.291667,0.413043,0.403509,1
27,0.116667,0.02305,0.081081,0.489684,0.375,0.5625,0.430556,0.478261,0.368421,0
28,0.166667,0.023366,0.432432,0.497937,0.392857,0.5625,0.555556,0.586957,0.368421,0
29,0.0,0.018314,0.081081,0.497937,0.464286,0.5625,0.541667,0.369565,0.210526,0
30,0.3,0.362172,0.0,0.49381,0.625,0.96875,0.236111,0.130435,0.210526,1
31,0.1,0.026839,0.054054,0.497937,0.357143,0.5625,0.430556,0.48913,0.385965,0
32,0.216667,0.025576,0.108108,0.497937,0.375,0.5625,0.361111,0.48913,0.421053,0
33,0.0,0.013578,1.0,0.642366,0.678571,0.78125,1.0,0.478261,0.017544,0
34,0.0,0.026524,0.837838,0.497937,0.642857,0.5,0.916667,0.445652,0.035088,0
35,0.066667,0.047679,0.054054,0.497937,0.178571,0.5625,0.472222,0.728261,0.54386,0
36,0.133333,0.027787,0.378378,0.500688,0.428571,0.53125,0.569444,0.543478,0.333333,0
37,0.55,0.021156,0.351351,0.497937,0.446429,0.5625,0.208333,0.51087,0.526316,0
38,0.216667,0.044206,0.108108,0.497937,0.75,0.5625,0.361111,0.032609,0.052632,0
39,0.416667,0.058099,0.189189,0.497937,0.0,0.4375,0.236111,1.0,0.912281,0
40,0.0,0.015156,0.837838,0.497937,0.678571,0.53125,0.916667,0.413043,0.017544,0
41,0.3,0.362172,0.027027,0.497937,0.553571,0.5625,0.236111,0.228261,0.280702,1
42,0.083333,0.025576,0.027027,0.497937,0.75,0.5625,0.430556,0.01087,0.0,0
43,0.0,0.026839,0.027027,0.497937,0.696429,0.5625,0.5,0.065217,0.0,0
44,0.183333,0.021156,0.378378,0.508941,0.428571,0.359375,0.527778,0.543478,0.368421,0
45,0.133333,0.028102,0.378378,0.499312,0.428571,0.53125,0.569444,0.543478,0.333333,0
46,0.583333,0.04389,0.189189,0.497937,0.0,0.546875,0.097222,1.0,1.0,0
47,0.1,0.018945,0.027027,0.497937,0.75,0.5625,0.416667,0.01087,0.0,0
48,0.533333,0.028418,0.864865,0.497937,0.910714,0.4375,0.486111,0.141304,0.070175,0
49,0.0,0.01042,0.054054,0.497937,0.553571,0.5625,0.513889,0.23913,0.122807,0
50,0.233333,0.04389,0.108108,0.497937,0.75,0.5625,0.347222,0.032609,0.070175,0
51,0.55,0.027787,0.864865,0.497937,0.910714,0.359375,0.472222,0.141304,0.070175,0
52,0.166667,0.021787,0.054054,0.497937,0.357143,0.5625,0.375,0.48913,0.421053,0
53,0.133333,0.047363,0.054054,0.497937,0.625,0.5625,0.402778,0.152174,0.122807,0
54,0.7,0.65551,0.189189,0.49381,0.767857,0.484375,0.0,0.043478,0.280702,1
55,0.083333,0.028102,0.081081,0.489684,0.375,0.5625,0.458333,0.478261,0.350877,0
56,0.133333,0.017051,0.054054,0.49381,0.767857,0.5,0.402778,0.0,0.0,0
57,0.983333,0.028734,0.864865,0.497937,0.982143,0.1875,0.111111,0.065217,0.245614,0
58,0.366667,0.015472,0.351351,0.497937,0.446429,0.5625,0.361111,0.51087,0.438596,0
59,0.833333,0.025892,0.864865,0.497937,0.946429,0.421875,0.236111,0.086957,0.175439,0
60,0.116667,0.024629,0.054054,0.497937,0.357143,0.5625,0.416667,0.48913,0.385965,0
61,0.533333,0.028734,0.864865,0.497937,0.910714,0.46875,0.486111,0.141304,0.070175,0
62,0.116667,0.051468,0.054054,0.497937,0.178571,0.5625,0.430556,0.728261,0.561404,0
63,0.783333,0.026208,0.864865,0.497937,0.946429,0.515625,0.263889,0.086957,0.157895,0
64,0.15,0.052416,0.054054,0.497937,0.178571,0.5625,0.388889,0.728261,0.596491,0
65,0.133333,0.051784,0.054054,0.497937,0.178571,0.5625,0.416667,0.728261,0.578947,0
66,0.166667,0.047679,0.054054,0.497937,0.625,0.5625,0.375,0.152174,0.140351,0
67,0.25,0.028734,0.432432,0.497937,0.392857,0.5625,0.486111,0.586957,0.421053,0
68,0.65,0.02305,0.864865,0.497937,0.928571,0.515625,0.375,0.119565,0.105263,0
69,0.483333,0.061572,0.189189,0.497937,0.017857,0.953125,0.180556,0.967391,0.912281,0
70,0.716667,0.02526,0.864865,0.497937,0.928571,0.4375,0.333333,0.119565,0.140351,0
71,0.0,0.023997,0.027027,0.497937,0.696429,0.5625,0.5,0.065217,0.0,0
72,0.0,0.005684,0.837838,0.496561,0.642857,0.578125,0.916667,0.445652,0.035088,0
73,0.233333,0.026839,0.054054,0.497937,0.357143,0.5625,0.319444,0.48913,0.45614,0
74,0.0,0.01263,0.027027,0.497937,0.553571,0.5625,0.5,0.228261,0.122807,0
75,0.0,0.027155,0.837838,0.497937,0.642857,0.5625,0.916667,0.445652,0.035088,0
76,0.133333,0.028734,0.162162,0.497937,0.767857,0.5625,0.458333,0.032609,0.0,0
77,0.066667,0.044206,0.054054,0.497937,0.625,0.5625,0.458333,0.152174,0.087719,0
78,0.1,0.014525,0.027027,0.497937,0.75,0.5625,0.416667,0.01087,0.0,0
79,0.65,0.024313,0.351351,0.495186,0.446429,0.5625,0.138889,0.51087,0.578947,0
80,0.0,0.026208,0.054054,0.497937,0.553571,0.5625,0.513889,0.23913,0.122807,0
81,0.216667,0.044837,0.054054,0.497937,0.178571,0.5625,0.333333,0.728261,0.631579,0
82,0.216667,0.044522,0.108108,0.497937,0.75,0.5625,0.361111,0.032609,0.052632,0
83,0.116667,0.026524,0.108108,0.500688,0.375,0.5625,0.444444,0.48913,0.368421,0
84,0.35,0.015156,0.351351,0.497937,0.446429,0.5625,0.375,0.51087,0.421053,0
85,0.15,0.021787,0.108108,0.502063,0.375,0.5625,0.416667,0.48913,0.385965,0
86,0.583333,0.024313,0.864865,0.497937,0.910714,0.078125,0.444444,0.141304,0.087719,0
87,0.166667,0.02305,0.432432,0.497937,0.392857,0.5625,0.569444,0.586957,0.368421,0
88,0.283333,0.014209,0.351351,0.497937,0.446429,0.5625,0.430556,0.51087,0.385965,0
89,0.583333,0.044837,0.189189,0.497937,0.0,0.53125,0.097222,1.0,1.0,0
90,0.083333,0.027471,0.432432,0.497937,0.392857,0.5625,0.625,0.586957,0.333333,0
91,0.166667,0.022103,0.054054,0.497937,0.357143,0.5625,0.361111,0.48913,0.421053,0
92,0.6,0.023366,0.864865,0.497937,0.928571,0.546875,0.416667,0.119565,0.087719,0
93,0.55,0.053363,0.189189,0.497937,0.017857,1.0,0.125,0.967391,0.964912,0
94,0.516667,0.059994,0.189189,0.497937,0.0,0.4375,0.152778,1.0,0.964912,0
95,0.2,0.0461,0.054054,0.497937,0.625,0.5625,0.347222,0.152174,0.157895,0
96,0.633333,0.022419,0.864865,0.497937,0.928571,0.53125,0.402778,0.119565,0.087719,0
97,0.566667,0.047363,0.189189,0.497937,0.0,0.5,0.111111,1.0,1.0,0
98,0.616667,0.023997,0.864865,0.497937,0.928571,0.546875,0.416667,0.119565,0.087719,0
99,0.333333,0.400063,0.135135,0.497937,0.678571,0.5625,0.277778,0.130435,0.192982,1
100,1.0,0.028102,0.864865,0.497937,1.0,0.5625,0.097222,0.032609,0.22807,0
101,0.566667,0.026839,0.864865,0.497937,0.910714,0.234375,0.458333,0.141304,0.087719,0
102,0.583333,0.021156,0.351351,0.496561,0.446429,0.5625,0.180556,0.51087,0.54386,0
103,0.0,0.009473,0.837838,0.497937,0.678571,0.53125,0.916667,0.413043,0.017544,0
104,0.75,0.026839,0.864865,0.497937,0.928571,0.3125,0.305556,0.119565,0.157895,0
105,0.0,0.005684,0.837838,0.495186,0.678571,0.515625,0.916667,0.413043,0.017544,0
106,0.2,0.023997,0.054054,0.497937,0.357143,0.5625,0.347222,0.48913,0.438596,0
107,0.166667,0.023997,0.378378,0.504814,0.428571,0.4375,0.527778,0.543478,0.350877,0
108,0.666667,0.025892,0.351351,0.49381,0.446429,0.5625,0.111111,0.51087,0.596491,0
109,0.683333,0.023997,0.864865,0.497937,0.928571,0.484375,0.361111,0.119565,0.122807,0
110,0.166667,0.051153,0.054054,0.497937,0.178571,0.5625,0.375,0.728261,0.596491,0
111,0.25,0.029365,0.108108,0.497937,0.375,0.5625,0.319444,0.48913,0.438596,0
112,0.0,0.0,0.837838,0.502063,0.642857,0.3125,0.916667,0.445652,0.035088,0
113,0.0,0.027471,0.135135,0.497937,0.678571,0.5625,0.555556,0.130435,0.0,0
114,0.0,0.01042,0.054054,0.497937,0.553571,0.5625,0.513889,0.25,0.122807,0
115,0.216667,0.02526,0.432432,0.497937,0.392857,0.5625,0.527778,0.586957,0.403509,0
116,0.1,0.046416,0.054054,0.497937,0.625,0.5625,0.430556,0.152174,0.105263,0
117,0.066667,0.04389,0.054054,0.497937,0.625,0.5625,0.458333,0.152174,0.087719,0
118,0.0,0.017051,0.837838,0.496561,0.642857,0.5625,0.916667,0.445652,0.035088,0
119,0.15,0.021787,0.054054,0.497937,0.357143,0.5625,0.388889,0.48913,0.403509,0
120,0.516667,0.018314,0.351351,0.497937,0.446429,0.5625,0.25,0.51087,0.508772,0
121,0.183333,0.022734,0.378378,0.50619,0.428571,0.390625,0.527778,0.543478,0.350877,0
122,0.183333,0.046732,0.054054,0.497937,0.625,0.5625,0.361111,0.152174,0.157895,0
123,0.583333,0.02526,0.864865,0.497937,0.928571,0.640625,0.444444,0.119565,0.070175,0
124,0.1,0.027155,0.108108,0.500688,0.375,0.5625,0.444444,0.48913,0.368421,0
125,0.333333,0.014841,0.351351,0.497937,0.446429,0.5625,0.402778,0.51087,0.403509,0
126,0.566667,0.027471,0.864865,0.497937,0.910714,0.296875,0.458333,0.141304,0.087719,0
127,0.166667,0.052416,0.054054,0.497937,0.178571,0.5625,0.375,0.728261,0.596491,0
128,0.733333,0.028102,0.378378,0.500688,0.446429,0.5625,0.069444,0.51087,0.631579,0
129,0.783333,0.027155,0.864865,0.497937,0.928571,0.0625,0.277778,0.119565,0.175439,0
130,0.233333,0.044837,0.054054,0.497937,0.178571,0.5625,0.333333,0.728261,0.631579,0
131,0.0,0.023997,0.027027,0.497937,0.553571,0.5625,0.5,0.228261,0.122807,0
132,0.1,0.008525,0.027027,0.497937,0.75,0.5625,0.416667,0.01087,0.0,0
133,0.166667,0.022103,0.081081,0.489684,0.375,0.5625,0.388889,0.478261,0.403509,0
134,0.0,0.007578,1.0,1.0,0.678571,0.828125,1.0,0.478261,0.017544,0
135,0.0,0.008525,0.135135,0.497937,0.678571,0.5625,0.555556,0.130435,0.0,0
136,1.0,0.028418,0.864865,0.497937,0.982143,0.09375,0.097222,0.065217,0.245614,0
137,0.083333,0.029365,0.054054,0.497937,0.357143,0.5625,0.444444,0.48913,0.368421,0
138,0.3,0.014525,0.351351,0.497937,0.446429,0.5625,0.416667,0.51087,0.403509,0
139,0.45,0.520998,0.054054,0.497937,0.553571,0.5625,0.152778,0.25,0.368421,1
140,0.0,0.016735,0.027027,0.497937,0.696429,0.5625,0.5,0.065217,0.0,0
141,0.95,0.026208,0.864865,0.497937,0.982143,0.328125,0.125,0.065217,0.22807,0
142,0.0,0.023997,0.0,0.497937,0.607143,0.265625,0.486111,0.163043,0.087719,0
143,0.183333,0.023997,0.432432,0.497937,0.392857,0.5625,0.555556,0.586957,0.385965,0
144,0.583333,0.046732,0.189189,0.497937,0.0,0.515625,0.097222,1.0,1.0,0
145,0.116667,0.0461,0.054054,0.497937,0.625,0.5625,0.416667,0.152174,0.122807,0
146,0.0,0.020208,0.0,0.496561,0.625,0.796875,0.486111,0.130435,0.052632,0
147,0.0,0.011367,0.027027,0.497937,0.696429,0.5625,0.5,0.065217,0.0,0
148,0.216667,0.017682,0.351351,0.497937,0.428571,0.140625,0.486111,0.532609,0.385965,0
149,0.0,0.024313,0.837838,0.497937,0.678571,0.546875,0.916667,0.413043,0.017544,0
150,0.133333,0.02305,0.162162,0.497937,0.767857,0.5625,0.458333,0.032609,0.0,0
151,0.133333,0.021787,0.108108,0.500688,0.375,0.5625,0.416667,0.48913,0.385965,0
152,0.0,0.011999,0.837838,0.496561,0.678571,0.53125,0.916667,0.413043,0.017544,0
153,0.816667,0.025576,0.864865,0.497937,0.946429,0.46875,0.25,0.086957,0.175439,0
154,0.133333,0.022419,0.432432,0.497937,0.392857,0.5625,0.597222,0.586957,0.350877,0
155,0.0,0.023997,0.054054,0.497937,0.553571,0.5625,0.513889,0.25,0.122807,0
156,0.166667,0.02526,0.378378,0.503439,0.428571,0.453125,0.541667,0.543478,0.350877,0
157,0.0,0.019577,0.837838,0.497937,0.678571,0.546875,0.916667,0.413043,0.017544,0
158,0.7,0.026208,0.378378,0.503439,0.446429,0.5625,0.097222,0.51087,0.596491,0
159,0.116667,0.025892,0.108108,0.502063,0.375,0.5625,0.444444,0.48913,0.368421,0
160,0.566667,0.051784,0.189189,0.497937,0.0,0.4375,0.111111,1.0,0.982456,0
161,0.833333,0.026524,0.864865,0.497937,0.946429,0.453125,0.236111,0.086957,0.175439,0
162,0.216667,0.046732,0.054054,0.497937,0.178571,0.5625,0.347222,0.728261,0.614035,0
163,0.483333,0.017367,0.351351,0.497937,0.446429,0.5625,0.263889,0.51087,0.491228,0
164,0.45,0.017367,0.351351,0.497937,0.446429,0.5625,0.291667,0.51087,0.473684,0
165,0.133333,0.023997,0.432432,0.497937,0.392857,0.5625,0.597222,0.586957,0.350877,0
166,0.383333,0.053047,0.189189,0.497937,0.017857,1.0,0.263889,0.967391,0.877193,0
167,0.1,0.001579,0.027027,0.497937,0.75,0.5625,0.416667,0.01087,0.0,0
168,0.0,0.020208,0.837838,0.497937,0.642857,0.46875,0.916667,0.445652,0.035088,0
169,0.1,0.026208,0.054054,0.497937,0.357143,0.5625,0.430556,0.48913,0.385965,0
170,0.0,0.004105,0.837838,0.497937,0.678571,0.5625,0.916667,0.413043,0.017544,0
171,0.15,0.026839,0.378378,0.502063,0.428571,0.5,0.555556,0.543478,0.350877,0
172,0.05,0.0461,0.054054,0.497937,0.178571,0.5625,0.486111,0.728261,0.54386,0
173,0.566667,0.050521,0.189189,0.497937,0.0,0.453125,0.111111,1.0,0.982456,0
174,0.666667,0.023366,0.864865,0.497937,0.928571,0.5,0.375,0.119565,0.122807,0
175,0.133333,0.023366,0.054054,0.497937,0.357143,0.5625,0.402778,0.48913,0.403509,0
176,0.233333,0.044522,0.054054,0.497937,0.625,0.5625,0.319444,0.152174,0.175439,0
177,0.633333,0.023682,0.351351,0.496561,0.446429,0.5625,0.152778,0.51087,0.578947,0
178,0.083333,0.044522,0.054054,0.497937,0.625,0.5625,0.430556,0.152174,0.105263,0
179,0.183333,0.023997,0.081081,0.488308,0.375,0.5625,0.375,0.478261,0.403509,0
180,0.766667,0.027471,0.864865,0.497937,0.928571,0.15625,0.291667,0.119565,0.175439,0
181,0.133333,0.021787,0.054054,0.497937,0.357143,0.5625,0.402778,0.48913,0.403509,0
182,0.883333,0.025576,0.864865,0.497937,0.946429,0.203125,0.194444,0.086957,0.210526,0
183,0.216667,0.044522,0.054054,0.497937,0.178571,0.5625,0.333333,0.728261,0.631579,0
184,0.733333,0.026208,0.864865,0.497937,0.928571,0.40625,0.319444,0.119565,0.140351,0
185,0.0,0.002526,0.837838,0.497937,0.678571,0.515625,0.916667,0.413043,0.017544,0
186,0.2,0.018945,0.351351,0.497937,0.428571,0.296875,0.513889,0.532609,0.368421,0
187,0.233333,0.016735,0.351351,0.497937,0.446429,0.640625,0.472222,0.51087,0.368421,0
188,0.083333,0.044206,0.054054,0.497937,0.625,0.5625,0.444444,0.152174,0.105263,0
189,0.2,0.047048,0.054054,0.497937,0.178571,0.5625,0.347222,0.728261,0.614035,0
190,0.0,0.021156,0.837838,0.496561,0.642857,0.5625,0.916667,0.445652,0.035088,0
191,0.783333,0.028418,0.864865,0.497937,0.946429,0.53125,0.263889,0.086957,0.157895,0
192,0.0,0.025576,0.837838,0.49381,0.678571,0.46875,0.916667,0.413043,0.017544,0
193,0.183333,0.051468,0.054054,0.497937,0.178571,0.5625,0.361111,0.728261,0.614035,0
194,0.566667,0.026208,0.864865,0.497937,0.910714,0.15625,0.444444,0.141304,0.087719,0
195,0.45,0.520998,0.837838,0.495186,0.678571,0.015625,0.541667,0.413043,0.245614,1
196,0.216667,0.044206,0.054054,0.497937,0.625,0.5625,0.319444,0.152174,0.175439,0
197,0.133333,0.028734,0.054054,0.495186,0.767857,0.515625,0.402778,0.0,0.0,0
198,0.083333,0.044522,0.054054,0.497937,0.625,0.5625,0.444444,0.152174,0.105263,0
199,0.133333,0.006315,0.162162,0.497937,0.767857,0.5625,0.458333,0.032609,0.0,0
200,0.0,0.017051,0.135135,0.497937,0.678571,0.5625,0.555556,0.130435,0.0,0
201,0.116667,0.025892,0.432432,0.497937,0.392857,0.5625,0.611111,0.586957,0.350877,0
202,0.133333,0.023366,0.108108,0.500688,0.375,0.5625,0.430556,0.48913,0.368421,0
203,0.7,0.657089,0.351351,0.497937,0.767857,0.5625,0.083333,0.108696,0.280702,1
204,0.95,0.02526,0.864865,0.497937,0.982143,0.375,0.138889,0.065217,0.210526,0
205,0.333333,0.066309,0.135135,0.497937,0.678571,0.5625,0.277778,0.130435,0.192982,0
206,0.0,0.016419,0.054054,0.497937,0.553571,0.5625,0.513889,0.25,0.122807,0
207,0.85,0.024945,0.864865,0.497937,0.946429,0.390625,0.222222,0.086957,0.192982,0
208,0.9,1.0,0.837838,0.492435,0.696429,0.578125,0.166667,0.380435,0.45614,1
209,0.0,0.024945,0.135135,0.497937,0.678571,0.5625,0.555556,0.130435,0.0,0
210,0.55,0.028102,0.864865,0.497937,0.910714,0.40625,0.472222,0.141304,0.070175,0
211,0.0,0.02084,0.027027,0.497937,0.696429,0.5625,0.5,0.065217,0.0,0
212,0.1,0.027155,0.432432,0.497937,0.392857,0.5625,0.625,0.586957,0.333333,0
213,0.116667,0.045785,0.054054,0.497937,0.625,0.5625,0.416667,0.152174,0.122807,0
214,0.0,0.022103,0.837838,0.0,0.642857,0.21875,0.916667,0.445652,0.035088,0
215,0.2,0.044206,0.108108,0.497937,0.75,0.5625,0.375,0.032609,0.052632,0
216,0.45,0.061888,0.189189,0.497937,0.0,0.46875,0.208333,1.0,0.929825,0
217,0.0,0.010736,0.837838,0.497937,0.678571,0.5625,0.916667,0.413043,0.017544,0
218,0.75,0.845911,0.837838,0.492435,0.678571,0.25,0.291667,0.413043,0.403509,1
219,0.9,0.02526,0.864865,0.497937,0.946429,0.0,0.180556,0.086957,0.210526,0
220,0.083333,0.029365,0.054054,0.497937,0.357143,0.5625,0.430556,0.48913,0.385965,0
221,0.25,0.015472,0.351351,0.497937,0.446429,0.65625,0.458333,0.51087,0.368421,0
222,0.0,0.021156,0.837838,0.496561,0.678571,0.546875,0.916667,0.413043,0.017544,0
223,0.8,0.02526,0.864865,0.497937,0.946429,0.515625,0.263889,0.086957,0.157895,0
224,0.0,0.017051,0.837838,0.496561,0.678571,0.53125,0.916667,0.413043,0.017544,0
225,0.7,0.024629,0.864865,0.497937,0.928571,0.46875,0.347222,0.119565,0.122807,0
226,0.716667,0.027155,0.351351,0.489684,0.446429,0.5625,0.083333,0.51087,0.614035,0
227,0.0,0.027155,0.837838,0.497937,0.678571,0.546875,0.916667,0.413043,0.017544,0
228,0.166667,0.044206,0.108108,0.497937,0.75,0.5625,0.388889,0.032609,0.035088,0
229,0.866667,0.025576,0.864865,0.497937,0.946429,0.34375,0.208333,0.086957,0.192982,0
